Name,No. of Reviews,Area,Est. Price ($),Categories,URL
The Communal Place,121,Marine Parade,25,"1-for-1 Deals, Dinner with Drinks, Breakfast & Brunch, Good For Groups, Cafes & Coffee",https://www.burpple.com/the-communal-place?bp_ref=%2Fsearch%2Fsg
Shin Minori (Katong Square),38,Marine Parade,45,"Buffets, Japanese, 1-for-1 Deals",https://www.burpple.com/shin-minori-katong-square?bp_ref=%2Fsearch%2Fsg
Dona Manis Cake Shop,72,Marine Parade,5,"Local Delights, Cheap & Good, Cakes, Desserts",https://www.burpple.com/dona-manis-cake-shop?bp_ref=%2Fsearch%2Fsg
HotPot Heroes,12,Marine Parade,30,"Steamboat, Rainy Day Comforts, Dinner with Drinks, Good For Groups, Chinese, 1-for-1 Deals",https://www.burpple.com/hotpot-heroes?bp_ref=%2Fsearch%2Fsg
Stirling Steaks (Opp Katong V),20,Marine Parade,35,"Steak, Western, 1-for-1 Deals",https://www.burpple.com/stirling-steaks?bp_ref=%2Fsearch%2Fsg
Second Storey Cafe Bar,26,Marine Parade,20,"Western, Cafes & Coffee, 1-for-1 Deals, Breakfast & Brunch, Waffles",https://www.burpple.com/second-storey-cafe-bar?bp_ref=%2Fsearch%2Fsg
Birds Of Paradise Gelato Boutique (East Coast Road),301,Marine Parade,5,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/birds-of-paradise-gelato-boutique?bp_ref=%2Fsearch%2Fsg
Megumi Japanese Restaurant,62,Marine Parade,30,"Japanese, 1-for-1 Deals",https://www.burpple.com/megumi-japanese-restaurant?bp_ref=%2Fsearch%2Fsg
Butter & Spice,3,Joo Chiat,15,"Indian, 1-for-1 Deals",https://www.burpple.com/butterndspice?bp_ref=%2Fsearch%2Fsg
Chezcake Bistro,26,Joo Chiat,15,"Cakes, Cafes & Coffee, Western",https://www.burpple.com/chezcake-bistro?bp_ref=%2Fsearch%2Fsg
Stirling Steaks (Opp I12 Katong),20,Marine Parade,35,"Steak, Western, Good For Groups, 1-for-1 Deals",https://www.burpple.com/stirling-steaks-2?bp_ref=%2Fsearch%2Fsg
Firebake - Woodfired Bakehouse & Restaurant,318,Marine Parade,50,"Steak, Cafes & Coffee, European, Bread, Breakfast & Brunch, Date Night, Dinner with Drinks, Sandwiches",https://www.burpple.com/firebakesg?bp_ref=%2Fsearch%2Fsg
Danji Korean BBQ Buffet,3,Katong,25,"Buffets, Korean BBQ, Korean, BBQ",https://www.burpple.com/danji-korean-bbq-buffet?bp_ref=%2Fsearch%2Fsg
Mr And Mrs Mohgan's Super Crispy Roti Prata,115,Joo Chiat,5,"Burpple Guides, Indian, Cheap & Good, Hawker Food",https://www.burpple.com/mr-and-mrs-mohgans-super-crispy-roti-prata?bp_ref=%2Fsearch%2Fsg
The Chop House (Katong),31,Marine Parade,50,"Steak, Western, Dinner with Drinks, Good For Groups, Burgers",https://www.burpple.com/the-chop-house-i12-katong?bp_ref=%2Fsearch%2Fsg
Jin Yu Man Tang Dessert Shop,11,Marine Parade,5,"Desserts, Chinese",https://www.burpple.com/jin-yu-man-tang-dessert?bp_ref=%2Fsearch%2Fsg
Delicious Boneless Chicken Rice,99,Marine Parade,10,"Chicken Rice, Hidden Gem, Hawker Food",https://www.burpple.com/delicious-boneless-chicken-rice?bp_ref=%2Fsearch%2Fsg
Sinpopo Restaurant (Joo Chiat),266,Marine Parade,20,"Local Delights, Supper, Desserts, Cafes & Coffee",https://www.burpple.com/sinpopo-brand?bp_ref=%2Fsearch%2Fsg
An Acai Affair (Katong),74,Marine Parade,10,"Desserts, Healthy",https://www.burpple.com/an-acai-affair?bp_ref=%2Fsearch%2Fsg
Homeground Coffee Roasters,42,Marine Parade,10,"Desserts, Cakes, Cafes & Coffee",https://www.burpple.com/homeground-coffee-roasters?bp_ref=%2Fsearch%2Fsg
Brawn & Brains Coffee (East Coast),24,Marine Parade,15,"Breakfast & Brunch, Cafes & Coffee",https://www.burpple.com/brawn-brains-east-coast?bp_ref=%2Fsearch%2Fsg
Madeleine's Original Portuguese Egg Tart & Puff,21,Katong,5,"Desserts, 1-for-1 Deals",https://www.burpple.com/madeleines-original-portuguese-egg-tart-puff?bp_ref=%2Fsearch%2Fsg
Choice Cuts Goods + Coffee,6,Marine Parade,5,"Interesting, Cafes & Coffee, Craft Beer",https://www.burpple.com/choice-cuts-goods-coffee?bp_ref=%2Fsearch%2Fsg
Quentin's The Eurasian Restaurant,26,Katong,30,"Local Delights, European",https://www.burpple.com/quentins-the-eurasian-restaurant?bp_ref=%2Fsearch%2Fsg
Da Dong Prawn Noodles,50,Joo Chiat,10,Hawker Food,https://www.burpple.com/dadong-prawn-noodles?bp_ref=%2Fsearch%2Fsg
Zaffron Kitchen (East Coast),87,Marine Parade,30,Indian,https://www.burpple.com/zaffron-kitchen?bp_ref=%2Fsearch%2Fsg
ENG's Wantan Noodle (Tanjong Katong),161,Katong,5,Hawker Food,https://www.burpple.com/engs-wantan-noodle?bp_ref=%2Fsearch%2Fsg
2Six Cafe,10,Marine Parade,,"1-for-1 Deals, Good For Groups, Cakes, Cafes & Coffee, Desserts",https://www.burpple.com/2six?bp_ref=%2Fsearch%2Fsg
Platypus Kitchen (Katong),9,Marine Parade,,"Pasta, Western, Craft Beer",https://www.burpple.com/platypus-katong?bp_ref=%2Fsearch%2Fsg
Jimoto Dining,4,Joo Chiat,100,"Sushi, Japanese, Fine Dining, Newly Opened",https://www.burpple.com/jimoto-dining?bp_ref=%2Fsearch%2Fsg
Group Therapy (Katong V),182,Marine Parade,25,"Burpple Guides, Western, Waffles, Good For Groups, Breakfast & Brunch, Cafes & Coffee",https://www.burpple.com/group-therapy-cafe?bp_ref=%2Fsearch%2Fsg
Tall Girl Cuisine 高妹私房菜,7,Marine Parade,20,Chinese,https://www.burpple.com/tall-girl-cuisine?bp_ref=%2Fsearch%2Fsg
Braseiro,18,Joo Chiat,25,"Hidden Gem, Steak, Western",https://www.burpple.com/braseiro?bp_ref=%2Fsearch%2Fsg
Loving Hut,33,Joo Chiat,15,"Vegetarian, Hawker Food, Healthy",https://www.burpple.com/loving-hut-singapore?bp_ref=%2Fsearch%2Fsg
Alibabar The Hawker Bar (Katong),40,Marine Parade,15,"Bars, Hawker Food, Good For Groups, Western",https://www.burpple.com/alibabar-the-hawker-bar?bp_ref=%2Fsearch%2Fsg
Meet 4 Meat,14,Marine Parade,10,"Pasta, Hawker Food, Western",https://www.burpple.com/m4meast?bp_ref=%2Fsearch%2Fsg
Doong Ji Korean Restaurant,62,Marine Parade,,Korean,https://www.burpple.com/doong-ji-korean-restaurant?bp_ref=%2Fsearch%2Fsg
The 1925 Brewing Co. (Joo Chiat),6,Joo Chiat,30,"Bars, Craft Beer, Late Night, Western, Dinner with Drinks",https://www.burpple.com/the-1925-brewing-co-joo-chiat?bp_ref=%2Fsearch%2Fsg
Baba Chews Bar And Eatery,91,Marine Parade,30,"Peranakan, Local Delights, Dinner with Drinks, Good For Groups, Cocktails",https://www.burpple.com/baba-chews?bp_ref=%2Fsearch%2Fsg
Wondertales,3,Marine Parade,10,"Desserts, Cakes, Halal",https://www.burpple.com/wondertales?bp_ref=%2Fsearch%2Fsg
Rakuya,30,Marine Parade,,"Dinner with Drinks, Japanese",https://www.burpple.com/rakuyasg?bp_ref=%2Fsearch%2Fsg
Bei-Ing Wanton Noodles,40,Marine Parade,5,Hawker Food,https://www.burpple.com/beiing-yun-tuen-noodle?bp_ref=%2Fsearch%2Fsg
Bruno's Pizzeria & Grill (Tanjong Katong),37,Marine Parade,35,"Italian, Pasta, Pizza, Date Night",https://www.burpple.com/brunos-pizzeria-grill?bp_ref=%2Fsearch%2Fsg
Strong Flour,33,Marine Parade,15,"Pasta, Pizza, Western, Good For Groups",https://www.burpple.com/strong-flour?bp_ref=%2Fsearch%2Fsg
Ah Hoe Noodle House,5,Katong,10,Hawker Food,https://www.burpple.com/ah-hoe-noodle-house?bp_ref=%2Fsearch%2Fsg
Spruce (Katong),9,Marine Parade,25,"Bars, Pasta, Pizza, Western",https://www.burpple.com/spruce-katong?bp_ref=%2Fsearch%2Fsg
Brotzeit (Katong),20,Marine Parade,35,"Dinner with Drinks, European, Good For Groups, Late Night",https://www.burpple.com/brotzeit-german-bier-bar-restaurant-1?bp_ref=%2Fsearch%2Fsg
227 Katong Durian,12,Marine Parade,,"Local Delights, Desserts",https://www.burpple.com/227-katong-durian?bp_ref=%2Fsearch%2Fsg
Katong Kitchen,16,Marine Parade,50,"Buffets, Peranakan, Local Delights, Halal",https://www.burpple.com/katong-kitchen?bp_ref=%2Fsearch%2Fsg
Song Kee Fishball Noodle (Joo Chiat),47,Joo Chiat,10,Hawker Food,https://www.burpple.com/song-kee-fishball-noodle-3?bp_ref=%2Fsearch%2Fsg
Mazazu Crepe (I12 Katong),1,Marine Parade,10,"Japanese, Desserts",https://www.burpple.com/mazazu?bp_ref=%2Fsearch%2Fsg
Starbucks (I12 Katong),3,Marine Parade,10,Cafes & Coffee,https://www.burpple.com/starbucks-katong-i12?bp_ref=%2Fsearch%2Fsg
BAR At Tanjong Katong,7,Marine Parade,20,"Bars, Dinner with Drinks, Late Night, Good For Groups, Western",https://www.burpple.com/bar-bar-black-sheep-5?bp_ref=%2Fsearch%2Fsg
Glory Catering,41,Marine Parade,,,https://www.burpple.com/glory-catering?bp_ref=%2Fsearch%2Fsg
Nectar (I12 Katong),3,Marine Parade,5,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/nectar-1?bp_ref=%2Fsearch%2Fsg
Pigsfly Kitchen + Bar (Katong),9,Marine Parade,25,"Bars, Pizza, Western, Craft Beer, Burgers",https://www.burpple.com/two-pigsfly?bp_ref=%2Fsearch%2Fsg
Garçons (Tanjong Katong),3,Marine Parade,20,"French, Dinner with Drinks, European",https://www.burpple.com/garcons-1?bp_ref=%2Fsearch%2Fsg
Katong Gourmet Centre,6,Marine Parade,5,"Kopitiam, Hawker Food",https://www.burpple.com/katong-gourmet-centre?bp_ref=%2Fsearch%2Fsg
Alt. Pizza (Katong),15,Marine Parade,20,"Italian, Pizza, Good For Groups",https://www.burpple.com/alt-pizza-1?bp_ref=%2Fsearch%2Fsg
Bread & Hearth (Katong V),13,Marine Parade,10,"Cakes, Bread, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/bread-hearth-katong-v?bp_ref=%2Fsearch%2Fsg
